index,longitude,latitude,speed,direction
250,-122.08944,37.37415,0.7,-34
251,-122.08942,37.37416,0.8,-20
252,-122.08941,37.37416,0.7,-7
253,-122.08941,37.37417,0.8,-12
254,-122.08941,37.37418,0.8,-12
255,-122.08941,37.37419,0.6,-24
256,-122.08942,37.37419,0.6,-26
257,-122.08943,37.3742,0.8,-16
258,-122.08944,37.37421,0.7,-24
259,-122.08944,37.37421,0.8,0
260,-122.08944,37.37421,0.8,-10
261,-122.08943,37.37422,0.7,-11
262,-122.08943,37.37422,0.9,-11
263,-122.08944,37.37422,0.6,-22
264,-122.08945,37.37422,0.6,-25
265,-122.08946,37.37422,0.8,-15
266,-122.08946,37.37423,0.7,-27
267,-122.08947,37.37423,0.6,-22
268,-122.08946,37.37423,0.7,-10
269,-122.08945,37.37423,0.7,-34
270,-122.08945,37.37423,0.8,-5
271,-122.08942,37.37422,0.8,-16
272,-122.08941,37.37422,0.8,7
273,-122.08941,37.37422,0.8,-12
274,-122.0894,37.37422,0.8,0
275,-122.0894,37.37423,0.8,-15
276,-122.0894,37.37423,0.7,-9
277,-122.0894,37.37424,0.8,3
278,-122.08941,37.37424,0.7,-6
279,-122.0894,37.37424,0.7,-18
280,-122.0894,37.37425,0.7,-2
281,-122.08941,37.37425,0.6,-22
282,-122.08941,37.37426,0.8,-17
283,-122.08942,37.37426,0.8,-19
284,-122.08942,37.37426,0.7,-2
285,-122.08943,37.37426,0.8,-15
286,-122.08943,37.37427,0.7,-21
287,-122.08944,37.37428,0.7,-12
288,-122.08944,37.37427,0.7,-9
289,-122.08944,37.37427,0.8,-20
290,-122.08945,37.37425,0.8,-3
291,-122.08946,37.37424,0.7,-10
